T,K,kappa,theta,sigma,price,error,valid_paths
0.3,0.8,0.13,-0.4,0.1,0.200594,0.00168473,10000
0.3,0.8,0.13,-0.4,0.12,0.202988,0.00177571,10000
0.3,0.8,0.13,-0.4,0.13,0.202986,0.0018266,10000
0.3,0.8,0.13,-0.4,0.14,0.203134,0.00188756,10000
0.3,0.8,0.13,-0.4,0.15,0.201518,0.00195691,10000
0.3,0.8,0.13,-0.4,0.16,0.204452,0.00199899,10000
0.3,0.8,0.13,-0.4,0.17,0.203161,0.00206819,10000
0.3,0.8,0.13,-0.4,0.18,0.203881,0.00214278,10000
0.3,0.8,0.13,-0.4,0.19,0.205514,0.00218519,10000
0.3,0.8,0.13,-0.4,0.2,0.205048,0.00227668,10000
0.3,0.8,0.13,-0.45,0.1,0.203523,0.00179077,10000
0.3,0.8,0.13,-0.45,0.12,0.204342,0.00188389,10000
0.3,0.8,0.13,-0.45,0.13,0.204433,0.00191731,10000
0.3,0.8,0.13,-0.45,0.14,0.203971,0.00198434,10000
0.3,0.8,0.13,-0.45,0.15,0.203896,0.00203045,10000
0.3,0.8,0.13,-0.45,0.16,0.20371,0.00209379,10000
0.3,0.8,0.13,-0.45,0.17,0.206361,0.00214362,10000
0.3,0.8,0.13,-0.45,0.18,0.204302,0.0021945,10000
0.3,0.8,0.13,-0.45,0.19,0.207371,0.00229511,10000
0.3,0.8,0.13,-0.45,0.2,0.206827,0.0023373,10000
0.3,0.8,0.14,-0.34,0.1,0.201375,0.00158324,10000
0.3,0.8,0.14,-0.34,0.12,0.202671,0.00169121,10000
0.3,0.8,0.14,-0.34,0.13,0.20183,0.00175652,10000
0.3,0.8,0.14,-0.34,0.14,0.202902,0.00180695,10000
0.3,0.8,0.14,-0.34,0.15,0.20285,0.00184596,10000
0.3,0.8,0.14,-0.34,0.16,0.204167,0.00193179,10000
0.3,0.8,0.14,-0.34,0.17,0.203314,0.00197848,10000
0.3,0.8,0.14,-0.34,0.18,0.202565,0.00206384,10000
0.3,0.8,0.14,-0.34,0.19,0.204339,0.002159,10000
0.3,0.8,0.14,-0.34,0.2,0.206187,0.00218036,10000
